License Issue Date,License Number,Animal's Name,Species,Primary Breed,Secondary Breed,ZIP Code
December 18 2015,S107948,Zen,Cat,Domestic Longhair,Mix,98117
June 14 2016,S116503,Misty,Cat,Siberian,,98117
August 04 2016,S119301,Lyra,Cat,Mix,,98121
February 13 2019,962273,Veronica,Cat,Domestic Longhair,,98107
August 10 2019,S133113,Spider,Cat,LaPerm,,98115
November 21 2019,8002549,Maxx,Cat,American Shorthair,,98125
May 24 2020,S142869,Mickey,Cat,Domestic Longhair,,98126
July 03 2020,S112835,Diamond,Cat,Domestic Shorthair,Mix,98103
July 21 2020,S131986,Nacho,Cat,Domestic Shorthair,Mix,98126
August 18 2020,8019541,Gracie,Cat,Domestic Medium Hair,Mix,98133
September 08 2020,S141990,Ramon,Cat,Domestic Shorthair,Mix,98116
November 03 2020,S112996,Pixel,Cat,Domestic Medium Hair,Mix,98112
November 17 2020,S146576,C.C.,Cat,Domestic Shorthair,Mix,98117
November 20 2020,77412,Gemma,Cat,Siamese,American Shorthair,98126
November 24 2020,896993,Oliver,Cat,Domestic Longhair,Mix,98199
December 15 2020,832271,Silky Frances,Cat,Domestic Shorthair,,98115
December 20 2020,S114008,Jesse,Cat,Domestic Shorthair,Mix,98103
December 23 2020,833148,Lucy,Cat,Domestic Shorthair,,98116
January 27 2021,8018982,Bones,Cat,Mix,,98122
February 03 2021,8004418,Emme,Cat,Domestic Shorthair,Mix,98136
February 16 2021,833680,Coal,Cat,Domestic Shorthair,,98115
April 07 2021,19048,Rudy,Cat,Domestic Shorthair,,98103
April 09 2021,8004956,Custo,Cat,Domestic Shorthair,Mix,98117
April 10 2021,S145248,Honey,Cat,Domestic Medium Hair,Mix,98144
April 26 2021,S123490,Boots,Cat,Domestic Shorthair,Mix,98125
April 28 2021,8008321,Cece,Cat,American Shorthair,Mix,98125
May 02 2021,8028297,Noir,Cat,Mix,Mix,98103
May 07 2021,273780,Taffy,Cat,Siamese,Mix,98125
May 28 2021,S150479,Seamus,Cat,Domestic Shorthair,Mix,98104
June 17 2021,S112839,Guinness,Cat,Domestic Shorthair,Mix,98133
June 21 2021,S121230,Ebi,Cat,Domestic Medium Hair,,98119
June 21 2021,S121231,Toro,Cat,Domestic Shorthair,,98119
July 19 2021,8029709,Pippin,Cat,Persian,Mix,98105
July 23 2021,133986,Milo,Cat,LaPerm,,98133
July 23 2021,8030061,Luna Lovegood,Cat,Domestic Longhair,Mix,98117
August 03 2021,S150617,Eugene,Cat,Domestic Shorthair,Mix,98125
August 12 2021,8031685,Casper,Cat,Domestic Shorthair,,98126
August 19 2021,8010082,Mouse,Cat,Domestic Shorthair,,98199
August 31 2021,S143979,Olly,Cat,Domestic Shorthair,,98136
September 10 2021,8032534,Oatey or odin,Cat,Maine Coon,,98199
September 21 2021,8031624,Koa,Cat,Burmese,,98125
September 25 2021,140426,Theodore,Cat,Domestic Shorthair,,98144
October 21 2021,8001165,Brie,Cat,American Shorthair,Mix,98105
October 21 2021,85529,Cody,Cat,American Shorthair,,98105
October 21 2021,732760,Gatsby,Cat,American Shorthair,,98105
October 25 2021,8033726,Binu,Cat,Domestic Shorthair,Mix,98119
October 28 2021,S153294,Mudflap,Cat,Domestic Longhair,Mix,98115
October 29 2021,825012,Ricky,Cat,Norwegian Forest,,98136
October 31 2021,S100358,Roushe,Cat,Domestic Shorthair,,98144
November 06 2021,204655,"Katie ""Kitty""",Cat,Domestic Shorthair,Siamese,98136
November 10 2021,S150979,Tom,Cat,Domestic Shorthair,Mix,98117
November 11 2021,560462,Jóna,Cat,Domestic Shorthair,,98136
November 15 2021,133600,Precious,Cat,Persian,,98121
November 26 2021,8028480,Louie,Cat,Domestic Shorthair,Mix,98125
November 26 2021,8028478,Lyra,Cat,Domestic Shorthair,Siamese,98125
December 06 2021,8028320,Zora,Cat,Ragdoll,,98109
December 13 2021,8034900,Catfish,Cat,Domestic Shorthair,Mix,98107
December 15 2021,351170,Snowcap,Cat,Domestic Shorthair,,98112
December 18 2021,434832,Yuki,Cat,Domestic Shorthair,,98125
January 12 2022,S154393,Edgar,Cat,Domestic Medium Hair,Mix,98125
February 03 2022,8036100,Buddy Guy,Cat,Domestic Medium Hair,,98136
February 10 2022,S149283,Edgar,Cat,Domestic Shorthair,Mix,98126
February 10 2022,S149284,Emily,Cat,Domestic Shorthair,Mix,98126
March 06 2022,S107510,Turnip Smith,Cat,Maine Coon,Domestic Medium Hair,98199
March 11 2022,895990,Mink,Cat,Domestic Longhair,,98112
March 19 2022,8036112,Taro,Cat,Domestic Shorthair,Mix,98115
March 31 2022,s109687,Wilbur,Cat,Domestic Longhair,,98125
March 31 2022,574163,Mimi,Cat,Domestic Shorthair,,98107
April 01 2022,S157086,Bagel,Cat,Domestic Shorthair,Mix,98109
April 01 2022,S157090,Astral,Cat,Domestic Shorthair,Mix,98115
April 02 2022,8037440,Simon,Cat,Domestic Shorthair,Mix,98115
April 02 2022,8037443,Charlie,Cat,Domestic Shorthair,Mix,98109
April 02 2022,S157649,Kage,Cat,Domestic Medium Hair,Mix,98109
April 02 2022,8017400,Mighty Cat,Cat,Siamese,Domestic Shorthair,98106
April 02 2022,S143370,Fanny,Cat,Domestic Shorthair,,98122
April 03 2022,S154121,Jack,Cat,Domestic Shorthair,Mix,98116
April 03 2022,S154111,Jiji,Cat,Domestic Shorthair,Mix,98121
April 03 2022,S142365,Lula,Cat,Domestic Shorthair,,98105
April 03 2022,S142366,Myshka,Cat,Domestic Shorthair,,98105
April 03 2022,8017496,Mina,Cat,Domestic Shorthair,Mix,98102
April 03 2022,S158040,Megumi,Cat,Domestic Shorthair,Mix,98136
April 03 2022,215513,Alyeska,Cat,American Shorthair,,98118
April 03 2022,S114125,Porkbelly,Cat,Domestic Medium Hair,,98101
April 04 2022,S134495,Barry,Cat,Domestic Longhair,Mix,98126
April 04 2022,8017186,Lulu,Cat,Domestic Shorthair,Mix,98199
April 04 2022,8017185,Shibumi,Cat,Domestic Shorthair,Mix,98199
April 04 2022,S113929,Abby,Cat,American Shorthair,Mix,98117
April 04 2022,8037519,Carla Hernandez-Singh,Cat,Domestic Medium Hair,Mix,98188
April 04 2022,8037520,Turk Hernandez-Singh,Cat,Domestic Shorthair,Mix,98188
April 04 2022,S158042,Wally,Cat,Domestic Shorthair,Mix,98125
April 04 2022,S158043,Jiji,Cat,Domestic Shorthair,Mix,98125
April 04 2022,215421,Timmy,Cat,Domestic Shorthair,Mix,98116
April 04 2022,8037540,Alastair Henry,Cat,Domestic Shorthair,Mix,98109
April 04 2022,217597,Bumpas,Cat,Domestic Medium Hair,,98122
April 05 2022,S158809,Winky,Cat,Domestic Longhair,Mix,98115
April 05 2022,S158810,Estelle,Cat,Snowshoe,Mix,98103
April 05 2022,8037546,Kaia,Cat,Chartreux,Mix,98126
April 05 2022,8037552,Max,Cat,Mix,Mix,98199
April 05 2022,217648,Millie,Cat,Domestic Longhair,,98177
April 05 2022,208524,Mama Cat,Cat,Domestic Longhair,,98118
April 05 2022,S157652,Rangoon,Cat,Siamese,Mix,98122
April 05 2022,8037574,Sassafrass,Cat,Domestic Longhair,Mix,98118
April 05 2022,8037575,Rainbow,Cat,Domestic Longhair,Mix,98118
April 06 2022,8016887,Manny,Cat,Domestic Shorthair,Mix,98125
April 06 2022,208680,Two,Cat,Domestic Shorthair,,98133
April 06 2022,208681,Chackowitz,Cat,Domestic Shorthair,,98133
April 06 2022,S158051,Millie,Cat,Domestic Shorthair,Mix,98102
April 06 2022,S115142,Mao,Cat,Domestic Shorthair,,98144
April 06 2022,S150337,Lily,Cat,Domestic Shorthair,Mix,98136
April 06 2022,8016805,Manny,Cat,Domestic Shorthair,Mix,98125
April 07 2022,S113955,Eva,Cat,Domestic Medium Hair,,98144
April 07 2022,209289,Kat,Cat,Bombay,,98199
April 07 2022,8017443,Percy,Cat,Domestic Medium Hair,Mix,98103
April 07 2022,S157654,Tristan,Cat,Domestic Shorthair,Mix,98122
April 07 2022,210771,Max,Cat,LaPerm,,98115
April 07 2022,204978,Maui,Cat,Siamese,,98133
April 07 2022,215559,Estelle,Cat,Domestic Medium Hair,,98164
April 07 2022,215413,Tigger,Cat,Domestic Shorthair,,98125
April 07 2022,S157658,Mimi,Cat,Domestic Shorthair,Mix,98133
April 07 2022,217753,Max,Cat,Domestic Shorthair,,98102
April 08 2022,8037643,BUGSY,Cat,Domestic Medium Hair,Mix,98125
April 08 2022,8037644,BOOBOO,Cat,Domestic Medium Hair,Mix,98125
April 09 2022,217770,Odoroki,Cat,Domestic Shorthair,,98122
April 09 2022,8037656,Breckenridge,Cat,Domestic Longhair,Mix,98125
April 09 2022,204566,Mia,Cat,Domestic Shorthair,,98112
April 09 2022,8037658,Dolly,Cat,Mix,Mix,98107
April 09 2022,S143047,Tesla,Cat,Mix,,98119
April 09 2022,S143048,Tessa,Cat,Mix,,98119
April 09 2022,8037665,Suki,Cat,American Shorthair,Mix,98105
April 09 2022,217548,Annabelle,Cat,Norwegian Forest,,98117
April 09 2022,217580,Josepi,Cat,Domestic Shorthair,,98117
April 09 2022,8037666,Dusty,Cat,Domestic Shorthair,Mix,98117
April 09 2022,8037671,Flower,Cat,Domestic Medium Hair,Mix,98102
April 09 2022,8037672,Cat Stevens,Cat,Domestic Medium Hair,Mix,98102
April 09 2022,217613,Molly,Cat,LaPerm,,98122
April 09 2022,8016860,Nora,Cat,Domestic Shorthair,Mix,98122
April 09 2022,8016861,Hank,Cat,Domestic Shorthair,Mix,98122
April 09 2022,208190,Zoey,Cat,Maine Coon,Domestic Longhair,98106
April 10 2022,S158812,Solar,Cat,Domestic Longhair,Mix,98105
April 10 2022,S143167,Kuma,Cat,Maine Coon,,98119
April 10 2022,215595,Clementine,Cat,Domestic Shorthair,,98125
April 10 2022,8020559,Misa,Cat,Domestic Medium Hair,Mix,98103
April 10 2022,S114967,Lilly,Cat,Domestic Medium Hair,,98116
April 10 2022,S114966,Huck,Cat,Domestic Shorthair,,98116
April 10 2022,S154116,Lily Bell,Cat,Persian,,98121
April 11 2022,83193,Helo,Cat,Balinese,,98103
April 11 2022,S154720,Gogo Extravaganza,Cat,Domestic Shorthair,Domestic Shorthair,98122
April 11 2022,142549,Loki,Cat,Somali,,98103
April 11 2022,8017346,Hercule,Cat,Maine Coon,Domestic Medium Hair,98117
April 11 2022,8037704,Chicken,Cat,Domestic Shorthair,Mix,98144
April 11 2022,8037711,Margo,Cat,Siamese,Mix,98117
April 11 2022,8037712,Tengo,Cat,American Shorthair,Mix,98117
April 11 2022,204854,Canella,Cat,Domestic Shorthair,,98122
April 11 2022,S142837,Cio Cio San,Cat,Siamese,,98112
April 12 2022,8016966,Cooper,Cat,Domestic Shorthair,,98126
April 12 2022,8017399,Ally,Cat,Domestic Shorthair,,98125
April 12 2022,208369,Anya,Cat,Domestic Medium Hair,,98125
April 12 2022,8037744,Camacho,Cat,American Shorthair,,98103
April 12 2022,8037745,Chicken,Cat,American Shorthair,Mix,98122
April 12 2022,8017480,Mia,Cat,Domestic Shorthair,Domestic Shorthair,98133
April 12 2022,8017479,Scotty,Cat,Domestic Shorthair,Domestic Shorthair,98133
April 12 2022,8017478,Sherman,Cat,American Shorthair,Mix,98133
April 13 2022,208030,Mabel,Cat,Domestic Shorthair,,98144
April 13 2022,8037749,Leeloo,Cat,Domestic Shorthair,,98107
